City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
567,Bandrele,YT,76.75,clear sky,-12.9067,45.1914,Les Baobabs
569,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
570,Ormara,PK,79.72,clear sky,25.2088,64.6357,Kenara Colony House for Rent
571,Nuevitas,CU,78.06,overcast clouds,21.5453,-77.2644,Hotel Caonaba
573,Pundaguitan,PH,82.27,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
579,Chipoka,MW,82.0,overcast clouds,-13.9933,34.5157,The Cichlids Lodge
589,Touros,BR,78.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
593,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
595,Yenagoa,NG,75.67,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
598,Maxixe,MZ,76.57,few clouds,-23.8597,35.3472,Oceano
616,Gualaco,HN,87.64,scattered clouds,15.05,-86.05,Los encuentros
620,Tuntum,BR,78.26,overcast clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
621,Itarema,BR,79.03,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
626,Monsenhor Gil,BR,78.82,scattered clouds,-5.5642,-42.6078,Campelo Residence
627,Venice,US,77.0,few clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
630,Tadine,NC,77.18,overcast clouds,-21.55,167.8833,
636,Lorengau,PG,83.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
638,Bubaque,GW,82.85,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
639,Merritt Island,US,81.0,scattered clouds,28.5392,-80.672,
642,Coahuayana,MX,81.66,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
645,Sampit,ID,75.7,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
646,Idenao,CM,76.71,light rain,4.2475,9.0047,Moland Beach Resort
647,Katherine,AU,86.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
648,Bajil,YE,78.84,clear sky,15.0584,43.2851,فندق حضرموت
650,Wanning,CN,75.85,overcast clouds,18.8003,110.3967,Paradise Hotel
658,Assare,BR,80.02,scattered clouds,-6.8744,-39.875,José Xavier de Andrade
659,Punta Gorda,US,80.65,volcanic ash,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
668,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
671,Latung,PH,82.67,overcast clouds,5.5,120.8833,
672,Mazagao,BR,82.45,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
